"filename", "language", "XML", "C", "LinkerScript", "Assembler file", "comment", "blank", "total"
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_fault_tolerant_write_log_file.c", "C", 0, 26, 0, 0, 71, 16, 113
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_allocate.c", "C", 0, 9, 0, 0, 66, 10, 85
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_attributes_read.c", "C", 0, 54, 0, 0, 83, 33, 170
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_attributes_set.c", "C", 0, 96, 0, 0, 103, 45, 244
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_best_effort_allocate.c", "C", 0, 14, 0, 0, 70, 14, 98
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_close.c", "C", 0, 71, 0, 0, 89, 39, 199
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_create.c", "C", 0, 174, 0, 0, 138, 81, 393
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_date_time_set.c", "C", 0, 40, 0, 0, 83, 26, 149
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_delete.c", "C", 0, 240, 0, 0, 143, 95, 478
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_allocate.c", "C", 0, 482, 0, 0, 217, 173, 872
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_best_effort_allocate.c", "C", 0, 504, 0, 0, 229, 186, 919
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_relative_seek.c", "C", 0, 49, 0, 0, 89, 26, 164
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_seek.c", "C", 0, 147, 0, 0, 114, 68, 329
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_truncate.c", "C", 0, 177, 0, 0, 127, 74, 378
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_extended_truncate_release.c", "C", 0, 530, 0, 0, 240, 204, 974
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_open.c", "C", 0, 330, 0, 0, 167, 110, 607
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_read.c", "C", 0, 216, 0, 0, 159, 89, 464
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_relative_seek.c", "C", 0, 9, 0, 0, 71, 11, 91
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_rename.c", "C", 0, 296, 0, 0, 176, 127, 599
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_seek.c", "C", 0, 9, 0, 0, 65, 10, 84
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_truncate.c", "C", 0, 9, 0, 0, 65, 10, 84
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_truncate_release.c", "C", 0, 9, 0, 0, 67, 11, 87
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_write.c", "C", 0, 1035, 0, 0, 388, 348, 1771
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_file_write_notify_set.c", "C", 0, 8, 0, 0, 64, 12, 84
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_abort.c", "C", 0, 61, 0, 0, 89, 40, 190
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_boot_info_extract.c", "C", 0, 147, 0, 0, 131, 54, 332
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_cache_invalidate.c", "C", 0, 32, 0, 0, 77, 26, 135
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_check.c", "C", 0, 368, 0, 0, 289, 174, 831
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_check_FAT_chain_check.c", "C", 0, 52, 0, 0, 88, 32, 172
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_check_lost_cluster_check.c", "C", 0, 98, 0, 0, 141, 44, 283
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_close.c", "C", 0, 183, 0, 0, 164, 101, 448
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_close_notify_set.c", "C", 0, 8, 0, 0, 63, 12, 83
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_exFAT_format.c", "C", 0, 759, 0, 0, 263, 210, 1232
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_extended_space_available.c", "C", 0, 22, 0, 0, 72, 22, 116
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_flush.c", "C", 0, 152, 0, 0, 139, 83, 374
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_format.c", "C", 0, 322, 0, 0, 223, 147, 692
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_format_oem_name_set.c", "C", 0, 14, 0, 0, 67, 17, 98
"y:\RAMworkspace\F4Z_test\Middlewares\ST\filex\common\src\fx_media_format_type_set.c", "C", 0, 10, 0, 0, 65, 14, 89
